login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
cassidoo,cassidoo/cassidoo,2020-07-09T00:24:41Z,21,21,,TRUE,TRUE,
cassidoo,cassidoo/jumblie,2023-10-02T04:00:23Z,49,49,JavaScript,TRUE,TRUE,Mozilla Public License 2.0
cassidoo,cassidoo/brainstorm-buddy-extension,2024-09-23T15:53:44Z,15,15,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/online-go.com,2022-10-14T16:08:02Z,0,0,TypeScript,TRUE,TRUE,GNU Affero General Public License v3.0
cassidoo,cassidoo/blahg,2022-08-24T05:27:50Z,240,240,Astro,TRUE,FALSE,
cassidoo,cassidoo/remove-gmail-categories,2024-08-27T05:26:41Z,11,11,JavaScript,TRUE,FALSE,
cassidoo,cassidoo/generate-stripe-coupons,2023-08-21T21:02:06Z,16,16,Python,TRUE,TRUE,
cassidoo,cassidoo/scrapers,2016-04-18T20:41:55Z,617,617,,TRUE,TRUE,
cassidoo,cassidoo/cass.run,2021-01-28T23:09:23Z,163,163,,TRUE,TRUE,
cassidoo,cassidoo/saaskit,2024-05-19T05:19:54Z,4,4,,TRUE,FALSE,MIT License
cassidoo,cassidoo/getting-a-gig,2014-12-27T23:20:32Z,7307,7307,,TRUE,TRUE,
cassidoo,cassidoo/fedc-share-pear,2024-04-26T01:34:06Z,2,2,Astro,TRUE,TRUE,
cassidoo,cassidoo/astro-vt-demo,2024-03-30T18:21:43Z,2,2,Astro,TRUE,TRUE,
cassidoo,cassidoo/menubar,2024-01-22T01:04:39Z,5,5,,TRUE,TRUE,"BSD 2-Clause ""Simplified"" License"
cassidoo,cassidoo/pretzelai,2024-03-27T16:37:42Z,2,2,,TRUE,TRUE,Apache License 2.0
cassidoo,cassidoo/HTML-CSS-Tutorial,2013-07-28T00:46:57Z,870,870,HTML,TRUE,TRUE,
cassidoo,cassidoo/w9-crafter,2024-01-14T07:01:33Z,16,16,JavaScript,FALSE,FALSE,
cassidoo,cassidoo/screenshot-demo,2024-03-12T14:52:05Z,14,14,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/thejam-share-pear,2024-01-24T18:16:11Z,1,1,Astro,TRUE,FALSE,
cassidoo,cassidoo/copy-mailto-plus,2024-02-17T06:01:57Z,20,20,JavaScript,FALSE,FALSE,
cassidoo,cassidoo/markdown.tips,2024-02-08T04:42:50Z,6,6,,TRUE,TRUE,
cassidoo,cassidoo/personalsit.es,2023-11-06T04:59:49Z,1,1,,TRUE,TRUE,
cassidoo,cassidoo/cardstock,2021-10-22T16:53:27Z,98,98,CSS,FALSE,FALSE,MIT License
cassidoo,cassidoo/flapjack-fwop,2018-12-29T18:58:41Z,32,32,CSS,TRUE,TRUE,
cassidoo,cassidoo/todometer,2017-04-29T05:44:13Z,1982,1982,JavaScript,FALSE,TRUE,MIT License
cassidoo,cassidoo/thejam-markdown-share-pear,2024-01-24T19:14:13Z,0,0,HTML,TRUE,FALSE,
cassidoo,cassidoo/decentralized-news,2023-12-07T20:36:20Z,6,6,Astro,TRUE,TRUE,
cassidoo,cassidoo/ama,2020-06-09T02:22:18Z,62,62,,FALSE,FALSE,
cassidoo,cassidoo/agagd,2023-11-20T05:21:51Z,1,1,,TRUE,FALSE,MIT License
cassidoo,cassidoo/react-tailwind-tabs,2023-09-26T19:01:03Z,20,20,JavaScript,TRUE,TRUE,GNU General Public License v3.0
cassidoo,cassidoo/tinacms,2023-10-30T01:24:10Z,3,3,,TRUE,FALSE,Apache License 2.0
cassidoo,cassidoo/tina.io,2023-10-19T04:25:38Z,0,0,TypeScript,TRUE,FALSE,
cassidoo,cassidoo/resources,2023-10-24T21:49:57Z,2,2,,TRUE,FALSE,
cassidoo,cassidoo/thirteen-potions,2023-09-11T03:41:26Z,24,24,HTML,FALSE,FALSE,
cassidoo,cassidoo/vim-up,2016-11-30T19:54:47Z,355,355,Vim Script,TRUE,TRUE,
cassidoo,cassidoo/talks,2014-08-07T18:02:31Z,669,669,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/obsidian-releases,2021-10-25T00:52:36Z,1,1,JavaScript,TRUE,FALSE,
cassidoo,cassidoo/next.js,2023-07-20T20:34:21Z,3,3,,TRUE,FALSE,MIT License
cassidoo,cassidoo/open-source-alternatives,2023-06-07T01:02:41Z,26,26,,TRUE,FALSE,MIT License
cassidoo,cassidoo/remember,2014-02-28T06:29:27Z,5,5,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/obsidian-hidden-characters,2023-03-12T05:58:30Z,1,1,JavaScript,TRUE,TRUE,
cassidoo,cassidoo/next-netlify-starter-1,2023-03-12T06:47:48Z,2,2,,TRUE,TRUE,
